Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
a cosa servono i denti?,Che animale è protagonista della storia?,un serpente,un serpente,True
a cosa servono i denti?,Come si comporta il serpente a scuola?,timido e dolce,triste e scontroso,False
a cosa servono i denti?,Perché nessuno gli parla più?,perché morde,perché morde,True
a cosa servono i denti?,Chi portano i genitori per aiutare il serpente?,dal dottore,dal dottore,True
a cosa servono i denti?,Da chi vanno dopo il dottore?,dal fachiro,dal fachiro,True
a cosa servono i denti?,Come reagisce il serpente alla musica?,ballando,ballando,True
a cosa servono i denti?,Che cosa fa alla fine il serpente?,inizia a ridere,inizia a ridere,True
a cosa servono i denti?,Cosa gli insegna il fachiro?,che i denti servono anche per sorridere,che i denti servono anche per sorridere,True
a cosa servono i denti?,Cosa consiglia il dottore?,bere brodo di ortica e aglio,bere brodo di ortica e aglio,True
a cosa servono i denti?,Qual è il messaggio della storia?,sorridere è importante,sorridere è importante,True
burrasca!,Dopo quanti giorni di navigazione gettano l'ancora?,sei giorni e poi ancora per l’ottavo giorno,sei giorni,False
burrasca!,Perché restano fermi nella rada?,a causa del vento,a causa del vento,True
burrasca!,Cosa ordina il capitano quando il mare si agita?,di gettare l’ancora di salvezza,di gettare l’ancora di salvezza,True
burrasca!,Come viene descritta la burrasca?,spaventosa,spaventosa,True
burrasca!,Cosa succede a una nave distante un miglio?,cola a picco,cola a picco,True
burrasca!,Qual è la sensazione del narratore?,terrore,terrore,True
burrasca!,Cosa fanno gli uomini dell’equipaggio?,ammainano le vele,ammainano le vele,True
burrasca!,Come reagisce la nave alla burrasca?,imbarca acqua,imbarca acqua,True
burrasca!,Come termina il racconto?,con il ritorno a casa dei marinai,con la promessa di momenti peggiori in arrivo,False
burrasca!,Cosa fanno alcune navi vicine?,mozzano gli alberi,mozzano gli alberi,True
che caos!,Come si chiama la protagonista della storia?,winnie,winnie,True
che caos!,Dove si trova la casetta descritta?,vicino allo stagno,vicino allo stagno,True
che caos!,Cosa c'è nel cassetto del tavolo?,un topo,un topo,True
che caos!,Come sono i piatti nella credenza?,puliti e ordinati,accatastati senza ordine,False
che caos!,Com’è il camino?,pieno di cenere,pieno di cenere,True
che caos!,Come si sente Winnie in mezzo al disordine?,spaventata,incuriosita,False
che caos!,Che tipo di lavoro fa Mae?,cuce stoffe colorate,cuce stoffe colorate,True
che caos!,Cosa si trova ovunque nella casetta?,polvere e oggetti,polvere e oggetti,True
che caos!,Che tipo di lavoro fa Tuck?,lavora il legno,lavora il legno,True
che caos!,Come definisce Winnie la casetta?,comoda e affascinante,comoda e affascinante,True
da dove vengono i bambini?,Cosa annunciano mamma e papà?,l’arrivo di un bambino,l’arrivo di un bambino,True
da dove vengono i bambini?,A chi chiede prima spiegazioni il protagonista?,a olive,a olive,True
da dove vengono i bambini?,Cosa risponde Olive?,che crescono sull’albero dei bambini,che crescono sull’albero dei bambini,True
da dove vengono i bambini?,Chi dice che i bambini nascono in ospedale?,la maestra,la maestra,True
da dove vengono i bambini?,Cosa pensa il protagonista dell’ospedale?,che si fanno solo visite,che è solo per i malati,False
da dove vengono i bambini?,Chi dice che i bambini li porta la cicogna?,il nonno,il nonno,True
da dove vengono i bambini?,Chi parla delle uova?,il postino,il postino,True
da dove vengono i bambini?,Cosa spiegano alla fine i genitori?,che il bambino cresce nella pancia della mamma,che il bambino cresce nella pancia della mamma,True
da dove vengono i bambini?,Cosa decide di fare il protagonista col nonno?,spiegargli da dove vengono i bambini,spiegargli da dove vengono i bambini,True
da dove vengono i bambini?,Cosa controlla ogni mattina il bambino?,l’uscio di casa,l’uscio di casa,True
daccapo,Cosa succede al puzzle?,si rimescola da solo,si rimescola da solo,True
daccapo,Cosa dice il pezzetto di puzzle?,che vuole giocare ancora,che vuole giocare ancora,True
daccapo,Cosa succede al cinema?,il film viene interrotto,il film riparte da capo,False
daccapo,Cosa succede al libro dell’autrice?,diventa bianco,diventa bianco,True
daccapo,Dove vanno le parole?,spariscono per sempre,prendono il volo,False
daccapo,Cosa fa la penna quando l’autrice cerca di fermarsi?,si rialza,si rialza,True
daccapo,Perché l’autrice lascia il regno di Daccapo?,per poter concludere i racconti,per poter concludere i racconti,True
daccapo,Qual è il problema nel regno di Daccapo?,non si può finire nulla,non si può finire nulla,True
daccapo,Qual è la morale della storia?,la fine è importante quanto l’inizio,la fine è importante quanto l’inizio,True
daccapo,Cos'è Daccapo?,un regno,un regno,True
il pavone più bello,Cosa chiede il lupo ai saggi della foresta?,il pavone più bello,il pavone più bello,True
il pavone più bello,Cosa devono fare i pavoni?,radunarsi,radunarsi,True
il pavone più bello,Come si sentono i pavoni prima della gara?,emozionati,emozionati,True
il pavone più bello,Chi compone la giuria?,"gufo, civetta, scoiattolo, ghiro e cincia","gufo, civetta, scoiattolo, ghiro e cincia",True
il pavone più bello,Come reagisce il pavone scelto?,si commuove,si commuove,True
il pavone più bello,Cosa dice il lupo vedendo il pavone?,che è brutto,che è brutto,True
il pavone più bello,Chi viene scelto come pavone più bello?,quello della prima fila,quello della prima fila,True
il pavone più bello,Cosa succede alle penne del pavone dalla paura?,diventano grigie e cadono,diventano grigie e cadono,True
il pavone più bello,Come finisce la storia?,il lupo se ne va,il lupo se ne va,True
il pavone più bello,Cosa succede quando il lupo arriva?,tutti scappano,tutti scappano,True
il cane poeta,Chi scrive una poesia nella storia?,un cane,un cane,True
il cane poeta,Di cosa parla la poesia?,della luna,della luna,True
il cane poeta,A chi prova a recitare la poesia il cane per primo?,a un poeta,a un poeta,True
il cane poeta,Cosa risponde il poeta?,che conosce già la luna,che conosce già la luna,True
il cane poeta,Chi incontra dopo il cane?,un altro cane,un altro cane,True
il cane poeta,Cosa risponde il secondo cane?,che non gli serve la poesia,che non gli serve la poesia,True
il cane poeta,Cosa fa il cane poeta dopo essere stato rifiutato?,cammina con la testa bassa,cammina con la testa bassa,True
il cane poeta,Dove si ferma a recitare la sua poesia?,ai piedi di un alberello,ai piedi di un alberello,True
il cane poeta,Chi ascolta la poesia e la apprezza?,una talpa,una talpa,True
il cane poeta,Come finisce la storia?,la talpa sparisce nella sua buca,la talpa sparisce nella sua buca,True
la città di ghiaccio,Dove si svolge la storia?,nel profondo nord,nel profondo nord,True
la città di ghiaccio,Chi sono i protagonisti?,gerda e kay,gerda e kay,True
la città di ghiaccio,Cosa copre la città?,il ghiaccio,il ghiaccio,True
la città di ghiaccio,Cosa fa Kay con le formine?,le riempie d’acqua,le riempie d’acqua,True
la città di ghiaccio,Cosa trovano il giorno dopo?,blocchetti di ghiaccio,blocchetti di ghiaccio,True
la città di ghiaccio,Dove invita Gerda?,in cortile,in cortile,True
la città di ghiaccio,Come reagisce Gerda?,è entusiasta,è entusiasta,True
la città di ghiaccio,Cosa decidono di costruire?,una città di ghiaccio,una città di ghiaccio,True
la città di ghiaccio,Cosa usano per costruire?,blocchi di ghiaccio,blocchi di ghiaccio,True
la città di ghiaccio,Qual è il messaggio della storia?,l’inverno può essere divertente con la fantasia,l’inverno può essere divertente con la fantasia,True
un ragno da adottare,Dove urla la mamma?,in bagno,in bagno,True
un ragno da adottare,Cosa c’era nella vasca da bagno?,un ragno,un ragno,True
un ragno da adottare,Chi cerca di schiacciare il ragno?,papà,papà,True
un ragno da adottare,Chi chiede di non uccidere il ragno?,simona,simona,True
un ragno da adottare,Dove si trasferisce la famiglia per lavarsi?,dai vicini,dai vicini,True
un ragno da adottare,Come reagisce la psicologa quando sente che hanno un ragno?,fa una strana faccia,fa una strana faccia,True
un ragno da adottare,Chi uccide accidentalmente il ragno?,anna maria,anna maria,True
un ragno da adottare,Come reagisce Simona alla morte del ragno?,urla disperata,urla disperata,True
un ragno da adottare,Cosa fa la mamma dopo la morte del ragno?,è contenta in segreto,è contenta in segreto,True
un ragno da adottare,Cosa fa Giulietto alla fine?,fa un bagno,fa un bagno,True
il ritardatario,Come si chiama il protagonista?,herman,herman,True
il ritardatario,Dove arriva in ritardo Herman?,a scuola,a scuola,True
il ritardatario,Cosa pensa Herman mentre entra?,che forse è vacanza,che forse è vacanza,True
il ritardatario,Chi è Barile?,l’insegnante,l’insegnante,True
il ritardatario,Che scusa inventa Herman?,ha salvato una signora,ha salvato una signora,True
il ritardatario,Come reagiscono i compagni alla scusa?,si mettono a ridere,si mettono a ridere,True
il ritardatario,Cosa fa Barile quando sente la scusa?,gli chiede altri dettagli,gli chiede altri dettagli,True
il ritardatario,Cosa chiede Herman alla fine?,di andare in bagno,di andare in bagno,True
il ritardatario,Come si sentono i compagni?,divertiti,divertiti,True
il ritardatario,Dove si siede Herman?,vicino alla finestra,vicino alla finestra,True
